"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1,59,59,41,"Aeugst am Albis ZH","Die Gemeinde Aeugst am Albis hat die Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf mit 59 Prozent Ja-Stimmen angenommen."
2,46.5,46.5,53.5,"Affoltern am Albis ZH","Keine Mehrheit für die Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf in Affoltern am Albis: Mit 1'732 Nein-Stimmen zu 1'506 Ja-Stimmen oder 53,5 Prozent hat die Gemeinde die Vorlage verworfen."
3,47.3,47.3,52.7,"Bonstetten ZH","Keine Mehrheit für die Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf in Bonstetten: Mit 1'035 Nein-Stimmen zu 930 Ja-Stimmen oder 52,7 Prozent hat die Gemeinde die Vorlage verworfen."
4,51.8,51.8,48.2,"Hausen am Albis ZH","Die Gemeinde Hausen am Albis hat die Änderung des Mietrechts zur vereinfachten Kündigung wegen Eigenbedarfs mit 51,8 Prozent angenommen."
5,50.8,50.8,49.2,"Hedingen ZH","Ja zur Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf in Hedingen: Mit 50,8 Prozent haben die Stimmbürgerinnen und Stimmbürger die Vorlage angenommen."
6,54.2,54.2,45.8,"Kappel am Albis ZH","54,2 Prozent der Abstimmenden in der Gemeinde Kappel am Albis haben Ja gesagt zur Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf."
7,52.6,52.6,47.4,"Knonau ZH","Ja zur Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf in Knonau: Mit 52,6 Prozent haben die Stimmbürgerinnen und Stimmbürger die Vorlage angenommen."
8,53.4,53.4,46.6,"Maschwanden ZH","In Maschwanden hat die Stimmbevölkerung der Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf zugestimmt. Die Vorlage wurde mit einem Ja-Stimmen-Anteil von 53,4 Prozent angenommen."
9,52.2,52.2,47.8,"Mettmenstetten ZH","Die Gemeinde Mettmenstetten hat die Änderung des Mietrechts zur vereinfachten Kündigung wegen Eigenbedarfs mit 52,2 Prozent angenommen."
10,54,54,46,"Obfelden ZH","Die Gemeinde Obfelden hat die Änderung des Mietrechts zur vereinfachten Kündigung wegen Eigenbedarfs mit 54 Prozent angenommen."
11,53.9,53.9,46.1,"Ottenbach ZH","Ja zur Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf in Ottenbach: Mit 53,9 Prozent haben die Stimmbürgerinnen und Stimmbürger die Vorlage angenommen."
12,50.1,50.1,49.9,"Rifferswil ZH","Ja zur Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf in Rifferswil: Mit 50,1 Prozent haben die Stimmbürgerinnen und Stimmbürger die Vorlage angenommen."
13,53.8,53.8,46.2,"Stallikon ZH","Die Gemeinde Stallikon hat die Änderung des Mietrechts zur vereinfachten Kündigung wegen Eigenbedarfs mit 53,8 Prozent angenommen."
14,58.7,58.7,41.3,"Wettswil am Albis ZH","Die Gemeinde Wettswil am Albis hat die Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf mit 58,7 Prozent Ja-Stimmen angenommen."
22,61.1,61.1,38.9,"Benken ZH","Ja zur Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf in Benken ZH. Die Gemeinde hat die Vorlage mit 61,1 Prozent der Stimmen angenommen."
23,62.7,62.7,37.3,"Berg am Irchel ZH","62,7 Prozent der Abstimmenden in der Gemeinde Berg am Irchel haben Ja gesagt zur Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf."
24,69.1,69.1,30.9,"Buch am Irchel ZH","69,1 Prozent der Stimmbürgerinnen und Stimmbürger von Buch am Irchel haben die Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf angenommen."
25,51.2,51.2,48.8,"Dachsen ZH","51,2 Prozent der Stimmbürgerinnen und Stimmbürger von Dachsen haben die Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf angenommen."
26,65.5,65.5,34.5,"Dorf ZH","In Dorf hat die Stimmbevölkerung der Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf zugestimmt. Die Vorlage wurde mit einem Ja-Stimmen-Anteil von 65,5 Prozent angenommen."
27,49.7,49.7,50.3,"Feuerthalen ZH","Keine Mehrheit für die Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf in Feuerthalen: Mit 526 Nein-Stimmen zu 520 Ja-Stimmen oder 50,3 Prozent hat die Gemeinde die Vorlage verworfen."
28,66.4,66.4,33.6,"Flaach ZH","Die Gemeinde Flaach hat die Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf mit 66,4 Prozent Ja-Stimmen angenommen."
29,51.9,51.9,48.1,"Flurlingen ZH","51,9 Prozent der Abstimmenden in der Gemeinde Flurlingen haben Ja gesagt zur Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf."
31,60.5,60.5,39.5,"Henggart ZH","60,5 Prozent der Abstimmenden in der Gemeinde Henggart haben Ja gesagt zur Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf."
33,51.7,51.7,48.3,"Kleinandelfingen ZH","Ja zur Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf in Kleinandelfingen: Mit 51,7 Prozent haben die Stimmbürgerinnen und Stimmbürger die Vorlage angenommen."
34,58.9,58.9,41.1,"Laufen-Uhwiesen ZH","58,9 Prozent der Abstimmenden in der Gemeinde Laufen-Uhwiesen haben Ja gesagt zur Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf."
35,55.7,55.7,44.3,"Marthalen ZH","Ja zur Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf in Marthalen: Mit 55,7 Prozent haben die Stimmbürgerinnen und Stimmbürger die Vorlage angenommen."
37,53.8,53.8,46.2,"Ossingen ZH","Ja zur Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf in Ossingen. Die Gemeinde hat die Vorlage mit 53,8 Prozent der Stimmen angenommen."
38,47.9,47.9,52.1,"Rheinau ZH","In Rheinau hat die Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf keine Mehrheit gefunden. Auf 52,1 Prozent der abgegebenen Stimmzettel stand ein Nein."
39,62.6,62.6,37.4,"Thalheim an der Thur ZH","Die Gemeinde Thalheim an der Thur hat die Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf mit 62,6 Prozent Ja-Stimmen angenommen."
40,61.2,61.2,38.8,"Trüllikon ZH","61,2 Prozent der Stimmbürgerinnen und Stimmbürger von Trüllikon haben die Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf angenommen."
41,57.5,57.5,42.5,"Truttikon ZH","Die Gemeinde Truttikon hat die Änderung des Mietrechts zur vereinfachten Kündigung wegen Eigenbedarfs mit 57,5 Prozent angenommen."
43,61.1,61.1,38.9,"Volken ZH","In Volken hat die Stimmbevölkerung der Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf zugestimmt. Die Vorlage wurde mit einem Ja-Stimmen-Anteil von 61,1 Prozent angenommen."
51,50.3,50.3,49.7,"Bachenbülach ZH","50,3 Prozent der Stimmbürgerinnen und Stimmbürger von Bachenbülach haben die Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf angenommen."
52,45.4,45.4,54.6,"Bassersdorf ZH","Nein zur Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf in Bassersdorf. Die Gemeinde hat die Vorlage mit 54,6 Prozent abgelehnt."
53,40.8,40.8,59.2,"Bülach ZH","Bülach hat die Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf mit 59,2 Prozent abgelehnt."
54,44.7,44.7,55.3,"Dietlikon ZH","Nein zur Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf  in Dietlikon: Mit 1'208 Nein- zu 976 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger die Vorlage abgelehnt. Das sind 55,3 Prozent."
55,53.5,53.5,46.5,"Eglisau ZH","Ja zur Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf in Eglisau. Die Gemeinde hat die Vorlage mit 53,5 Prozent der Stimmen angenommen."
56,51.5,51.5,48.5,"Embrach ZH","Die Gemeinde Embrach hat die Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf mit 51,5 Prozent Ja-Stimmen angenommen."
57,58.2,58.2,41.8,"Freienstein-Teufen ZH","Ja zur Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf in Freienstein-Teufen: Mit 58,2 Prozent haben die Stimmbürgerinnen und Stimmbürger die Vorlage angenommen."
58,56.2,56.2,43.8,"Glattfelden ZH","Die Gemeinde Glattfelden hat die Änderung des Mietrechts zur vereinfachten Kündigung wegen Eigenbedarfs mit 56,2 Prozent angenommen."
59,56.9,56.9,43.1,"Hochfelden ZH","Die Gemeinde Hochfelden hat die Änderung des Mietrechts zur vereinfachten Kündigung wegen Eigenbedarfs mit 56,9 Prozent angenommen."
60,61.7,61.7,38.3,"Höri ZH","Die Gemeinde Höri hat die Änderung des Mietrechts zur vereinfachten Kündigung wegen Eigenbedarfs mit 61,7 Prozent angenommen."
61,55.9,55.9,44.1,"Hüntwangen ZH","In Hüntwangen hat die Stimmbevölkerung der Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf zugestimmt. Die Vorlage wurde mit einem Ja-Stimmen-Anteil von 55,9 Prozent angenommen."
62,37.1,37.1,62.9,"Kloten ZH","In Kloten hat die Stimmbevölkerung die Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf abgelehnt. Die Vorlage wurde mit einem Nein-Stimmen-Anteil von 62,9 Prozent verworfen."
63,61.7,61.7,38.3,"Lufingen ZH","Die Gemeinde Lufingen hat die Änderung des Mietrechts zur vereinfachten Kündigung wegen Eigenbedarfs mit 61,7 Prozent angenommen."
64,58.6,58.6,41.4,"Nürensdorf ZH","In Nürensdorf hat die Stimmbevölkerung der Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf zugestimmt. Die Vorlage wurde mit einem Ja-Stimmen-Anteil von 58,6 Prozent angenommen."
65,63.8,63.8,36.2,"Oberembrach ZH","Ja zur Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf in Oberembrach. Die Gemeinde hat die Vorlage mit 63,8 Prozent der Stimmen angenommen."
66,39.7,39.7,60.3,"Opfikon ZH","Keine Mehrheit für die Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf in Opfikon: Mit 1'749 Nein-Stimmen zu 1'151 Ja-Stimmen oder 60,3 Prozent hat die Gemeinde die Vorlage verworfen."
67,50,50,50,"Rafz ZH","Unentschieden in Rafz: Mit je 729 Stimmen halten sich die Befürworter und Gegner der Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf genau die Waage."
68,48.9,48.9,51.1,"Rorbas ZH","In Rorbas hat die Stimmbevölkerung die Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf abgelehnt. Die Vorlage wurde mit einem Nein-Stimmen-Anteil von 51,1 Prozent verworfen."
69,45.6,45.6,54.4,"Wallisellen ZH","In Wallisellen hat die Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf keine Mehrheit gefunden. Auf 54,4 Prozent der abgegebenen Stimmzettel stand ein Nein."
70,60.9,60.9,39.1,"Wasterkingen ZH","Die Gemeinde Wasterkingen hat die Änderung des Mietrechts zur vereinfachten Kündigung wegen Eigenbedarfs mit 60,9 Prozent angenommen."
71,57.5,57.5,42.5,"Wil ZH","Die Gemeinde Wil ZH hat die Änderung des Mietrechts zur vereinfachten Kündigung wegen Eigenbedarfs mit 57,5 Prozent angenommen."
72,58.1,58.1,41.9,"Winkel ZH","58,1 Prozent der Abstimmenden in der Gemeinde Winkel haben Ja gesagt zur Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf."
81,55.6,55.6,44.4,"Bachs ZH","In Bachs hat die Stimmbevölkerung der Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf zugestimmt. Die Vorlage wurde mit einem Ja-Stimmen-Anteil von 55,6 Prozent angenommen."
82,60.7,60.7,39.3,"Boppelsen ZH","Die Gemeinde Boppelsen hat die Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf mit 60,7 Prozent Ja-Stimmen angenommen."
83,47.8,47.8,52.2,"Buchs ZH","In Buchs ZH hat die Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf keine Mehrheit gefunden. Auf 52,2 Prozent der abgegebenen Stimmzettel stand ein Nein."
84,49.9,49.9,50.1,"Dällikon ZH","Dällikon hat die Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf mit 50,1 Prozent abgelehnt."
85,55.9,55.9,44.1,"Dänikon ZH","Die Gemeinde Dänikon hat die Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf mit 55,9 Prozent Ja-Stimmen angenommen."
86,47.9,47.9,52.1,"Dielsdorf ZH","Nein zur Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf in Dielsdorf. Die Gemeinde hat die Vorlage mit 52,1 Prozent abgelehnt."
87,71.3,71.3,28.7,"Hüttikon ZH","Ja zur Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf in Hüttikon. Die Gemeinde hat die Vorlage mit 71,3 Prozent der Stimmen angenommen."
88,62.3,62.3,37.7,"Neerach ZH","62,3 Prozent der Stimmbürgerinnen und Stimmbürger von Neerach haben die Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf angenommen."
89,48.5,48.5,51.5,"Niederglatt ZH","Keine Mehrheit für die Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf in Niederglatt: Mit 624 Nein-Stimmen zu 587 Ja-Stimmen oder 51,5 Prozent hat die Gemeinde die Vorlage verworfen."
90,52.2,52.2,47.8,"Niederhasli ZH","In Niederhasli hat die Stimmbevölkerung der Änderung des Mietrechts zur vereinfachten Kündigung für Eigenbedarf zugestimmt. Die Vorlage wurde mit einem Ja-Stimmen-Anteil von 52,2 Prozent angenommen."
