"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
6702,32.7,32.7,67.3,"Boécourt (JU)","A Boécourt, les citoyens rejettent à 67,3 pour cent le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée."
6703,40.4,40.4,59.6,"Bourrignon (JU)","Le financement uniforme des soins ne passe pas la rampe à Bourrignon. Les habitants de cette petite commune l'ont rejeté par 53 voix, contre 36."
6704,39.3,39.3,60.7,"Châtillon (JU)","Le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée est refusé à 60,7 pour cent à Châtillon (JU)."
6706,33.6,33.6,66.4,"Courchapoix (JU)","A Courchapoix, les citoyens rejettent à 66,4 pour cent le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée."
6708,37.7,37.7,62.3,"Courrendlin (JU)","Le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée est refusé à 62,3 pour cent à Courrendlin."
6709,34.5,34.5,65.5,"Courroux (JU)","La population de Courroux rejette à 65,5 pour cent des voix le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée."
6710,35.3,35.3,64.7,"Courtételle (JU)","La population de Courtételle rejette à 64,7 pour cent des voix le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée."
6711,50,0,0,"Delémont (JU)","Les résultats ne sont pas encore connus dans cette commune."
6712,38.5,38.5,61.5,"Develier (JU)","Le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée n'a pas trouvé grâce aux yeux des citoyens de Develier. Ils ont refusé le texte à 61,5 pour cent."
6713,70.3,70.3,29.7,"Ederswiler (JU)","Les électeurs de la petite commune d'Ederswiler sont favorables au financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Ils ont dit oui au texte par 26 voix, contre 11."
6715,34.3,34.3,65.7,"Mervelier (JU)","Le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée n'a pas convaincu à Mervelier. Les citoyens de la commune ont refusé le texte à 65,7 pour cent."
6716,28.8,28.8,71.2,"Mettembert (JU)","Le financement uniforme des soins ne passe pas la rampe à Mettembert. Les habitants de cette petite commune l'ont rejeté par 37 voix, contre 15."
6718,41.9,41.9,58.1,"Movelier (JU)","C'est non au financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée à Movelier. Les habitants ont refusé le texte à 58,1 pour cent."
6719,48.2,48.2,51.8,"Pleigne (JU)","C'est non au financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée à Pleigne. Les habitants ont refusé le texte à 51,8 pour cent."
6721,38.4,38.4,61.6,"Rossemaison (JU)","Les habitants de Rossemaison s'opposent au financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée par 61,6 pour cent des voix."
6722,39.6,39.6,60.4,"Saulcy (JU)","Les habitants de la petite commune de Saulcy ont refusé d'uniformiser le financement des prestations médicales ambulatoires, stationnaires et les soins de longue durée. Ils ont dit non à cet objet par 55 voix contre 36."
6724,32.2,32.2,67.8,"Soyhières (JU)","Le financement uniforme des prestations médicales ambulatoires, stationnaires et les soins de longue durée n'a pas trouvé grâce aux yeux des citoyens de Soyhières. Ils ont refusé le texte à 67,8 pour cent."
